year,debt,divorce
1957,70,2.1
1958,68.5,1.9
1959,68,2.1
1960,67.8,2.0
1961,67.1,2.1
1962,65.6,2.4
1963,65.5,2.7
1964,66.4,2.9
1965,68.3,3.1
1966,70.7,3.2
1967,71.2,3.5
1968,75.6,3.7
1969,73.7,4.1
1970,77.5,4.7
1971,75.1,5.9
1972,78.4,9.5
1973,72.9,8.4
1974,69,9.0
1975,67,9.6
1976,61.5,10.1
1977,59.6,10.4
1978,59.7,11.6
1979,58,11.2
1980,60.4,12.0
1981,55.7,11.9
1982,52.5,12.1
1983,51.2,12.2
1984,50.5,12.0
1985,48.7,13.4
1986,47.7,12.9
1987,47.1,12.7
1988,45.8,12.8
1989,44.8,12.7
1990,42.1,13.0
1991,39.3,13.5
1992,39.6,13.9
1993,37.7,13.8
1994,36.3,14.2
1995,34.7,13.7
1996,33.6,13.6
1997,32.3,13.0
1998,31.1,12.9
1999,30.1,12.9
2000,30.1,12.7
2001,27.4,12.9
2002,28.8,12.8
2003,29.8,13.3
2004,29.4,13.3
2005,26.4,12.2
2006,24.9,11.5
2007,24,11.1
2008,23.5,10.5
2009,22.8,9.8
2010,23.6,10.2
2011,23.4,10.1
2012,24.6,10
2013,22.5,9.8
2014,23,9.3
