AREACD,AREANM,Population change,Natural change,Net international migration,Net within UK migration
E06000001,Hartlepool,2.089689891,1.109013833,0.772234085,0.197242027
E06000002,Middlesbrough,3.496399867,4.930770997,5.856645735,-7.231981456
E06000003,Redcar and Cleveland,-0.047019996,0.567832556,0.090498924,-0.710187771
E06000004,Stockton-on-Tees,4.858354587,3.54129402,0.929299998,0.382213988
E06000005,Darlington,1.129348636,1.48672523,-0.570429349,0.190360928
E06000006,Halton,2.207709136,2.365343856,-0.008869288,-0.163094766
E06000007,Warrington,6.486007486,2.559135402,1.132668231,2.757535041
E06000008,Blackburn with Darwen,-0.727889813,6.13485404,0.1302531,-6.982537507
E06000009,Blackpool,-1.150325237,-0.302254919,-0.549391316,-0.306562511
E06000010,"Kingston upon Hull, City of",1.898168269,4.995670735,3.577745464,-6.673427684
E06000011,East Riding of Yorkshire,3.646951741,-2.435348483,1.064213714,5.031321367
E06000012,North East Lincolnshire,1.099663947,1.320937642,0.870360302,-1.108803733
E06000013,North Lincolnshire,3.226898218,0.529389003,2.561770478,0.113210869
E06000014,York,7.628157973,2.1295606,6.332444697,-0.712112631
E06000015,Derby,6.794159795,5.658221096,3.88263705,-2.71859879
E06000016,Leicester,9.104000171,8.868181878,8.77035515,-8.455801629
E06000017,Rutland,2.902872722,-2.026506035,0.358394423,4.55460757
E06000018,Nottingham,5.872469554,7.24362039,8.791343457,-9.90850751
E06000019,"Herefordshire, County of",5.485362939,-0.482568322,4.006052497,1.930039227
E06000020,Telford and Wrekin,4.395720069,4.113660423,1.456144931,-1.155705209
E06000021,Stoke-on-Trent,3.039276196,4.76896675,2.137029905,-3.858354627
E06000022,Bath and North East Somerset,5.453761358,1.773023377,5.296943088,-1.439152766
E06000023,"Bristol, City of",10.39750665,9.10149666,2.577512835,-1.275293421
E06000024,North Somerset,9.38953665,0.342220654,0.665610095,8.361284425
E06000025,South Gloucestershire,9.531616849,4.074149582,2.767956443,2.706782778
E06000026,Plymouth,3.990974805,3.486826467,4.115177889,-3.491779979
E06000027,Torbay,4.613649471,-1.981736786,0.157661659,6.433442471
E06000028,Bournemouth,11.41048779,2.536319664,9.179139076,-0.237759184
E06000029,Poole,7.133865434,0.481813729,1.872819477,4.758624571
E06000030,Swindon,8.57397905,5.549346365,1.012440549,1.973358692
E06000031,Peterborough,10.26148147,8.418075809,8.9185341,-7.124641024
E06000032,Luton,12.78547959,10.38261562,13.51440698,-11.13028003
E06000033,Southend-on-Sea,8.317545702,2.972492563,0.29413059,5.022308047
E06000034,Thurrock,11.49672529,7.494482917,1.552177006,2.419537664
E06000035,Medway,10.1621765,5.66329206,1.676096324,2.823215636
E06000036,Bracknell Forest,9.971740057,6.564423473,2.45780853,0.903972083
E06000037,West Berkshire,3.752872006,3.373750738,-1.872053198,2.225819943
E06000038,Reading,6.195660971,9.085253012,4.437522982,-7.303121075
E06000039,Slough,9.462876989,11.62503423,4.750746759,-6.965297251
E06000040,Windsor and Maidenhead,6.907174879,3.326203076,0.642915094,2.872816097
E06000041,Wokingham,8.100004932,3.827739756,1.961420165,2.287986893
E06000042,Milton Keynes,12.83091484,7.634944941,0.710632773,4.425353918
E06000043,Brighton and Hove,7.356944636,4.464998992,7.810270383,-4.879187816
E06000044,Portsmouth,6.545843041,5.668789576,5.935643471,-4.918999084
E06000045,Southampton,7.481732629,6.942497205,10.33263917,-9.633981168
E06000046,Isle of Wight,4.35753008,-2.998565559,0.052609552,7.302317127
E06000047,County Durham,4.194353669,0.550651685,2.293891294,1.387879544
E06000049,Cheshire East,3.979081993,0.072415398,0.014685536,3.876690868
E06000050,Cheshire West and Chester,2.581007082,0.90217086,-0.220470174,1.907081768
E06000051,Shropshire,4.337090553,-1.41052817,0.441211979,5.287308126
E06000052,Cornwall,7.886226474,-0.427053256,0.761972554,7.573635217
E06000053,Isles of Scilly,-5.310769997,-1.39117424,-1.846046585,-2.159742828
E06000054,Wiltshire,5.846973691,1.389114831,-0.741524126,4.359310077
E06000055,Bedford,12.44566651,4.623197898,2.454086212,5.37157818
E06000056,Central Bedfordshire,14.74664872,5.27605513,4.349062502,5.069400692
E06000057,Northumberland,1.148167109,-2.148458751,-0.186239783,3.471242052
E07000004,Aylesbury Vale,13.41471426,4.759226422,4.302098609,4.318508061
E07000005,Chiltern,3.863834906,0.728165959,-0.951384226,4.060143006
E07000006,South Bucks,9.668018011,1.364666425,-0.278723669,8.531507059
E07000007,Wycombe,6.214147665,5.119709174,0.01327576,1.090354079
E07000008,Cambridge,6.163903334,4.483237949,11.30929176,-9.424769551
E07000009,East Cambridgeshire,11.26575904,3.958249891,2.574733567,4.689632168
E07000010,Fenland,7.424943821,0.587893337,7.063706435,-0.249930253
